Gene name,Accession
DAS1,P47005
DAS2,Q12084
DAT1,P13483
DBF2,P22204
DBF20,P32328
DBF4,P32325
DBP1,P24784
DBP10,Q12389
DBP2,P24783
DBP3,P20447
DBP5,P20449
DBP6,P53734
DBP7,P36120
DBP8,P38719
DBP9,Q06218
DBR1,P24309
DCC1,P25559
DCD1,P06773
DCG1,P32460
DCI1,Q08558
DCK1,Q06409
DCN1,Q12395
DCP1,Q12517
DCP2,P53550
DCR2,Q05924
DCS1,Q06151
DCS2,Q12123
DCV1,P43595
DCW1,P36091
DDC1,Q08949
DDI1,P40087
DDI2,P0CH63
DDI3,P0CH64
DDP1,Q99321
DDR2,P89113
DDR48,P18899
DED1,P06634
DED81,P38707
DEF1,P35732
DEG1,P31115
DEP1,P31385
DER1,P38307
DET1,Q99288
DFG10,P40526
DFG16,Q99234
DFG5,Q05031
DFM1,Q12743
DFR1,P07807
DGA1,Q08650
DGK1,Q12382
DGR1,Q3E808
DGR2,P32330
DHH1,P39517
DHR2,P36009
DIA1,P54005
DIA2,Q08496
DIA3,P52290
DIA4,P38705
DIB1,Q06819
DIC1,Q06143
DID2,P69771
DID4,P36108
DIE2,P50076
DIF1,O13577
DIG1,Q03063
DIG2,Q03373
DIM1,P41819
DIN7,Q12086
DIP2,Q12220
DIP5,P53388
DIS3,Q08162
DIT1,P21623
DIT2,P21595
DJP1,P40564
DLD1,P32891
DLD2,P46681
DLD3,P39976
DLS1,P40366
DLT1,Q04216
DMA1,P38823
DMA2,P53924
DMC1,P25453
DML1,Q03652
DNA2,P38859
DNF1,P32660
DNF2,Q12675
DNF3,Q12674
DNL4,Q08387
DNM1,P54861
DOA1,P36037
DOA4,P32571
DOC1,P53068
DOG1,P38774
DOG2,P38773
DOM34,P33309
DON1,Q05610
DOP1,Q03921
DOS2,P54858
DOT1,Q04089
DOT5,P40553
DOT6,P40059
DPB11,P47027
DPB2,P24482
DPB3,P27344
DPB4,Q04603
DPH1,P40487
DPH2,P32461
DPH5,P32469
